,NAME,BATCH,ACTIVE,REP
446,TONNEL Relayer #446,Bronze,No,5.0
447,TONNEL Relayer #447,Bronze,No,5.0
448,TONNEL Relayer #448,Bronze,No,5.0
449,TONNEL Relayer #449,Bronze,No,5.0
450,TONNEL Relayer #450,Bronze,No,7.5
451,TONNEL Relayer #451,Bronze,No,5.0
452,TONNEL Relayer #452,Bronze,No,5.0
453,TONNEL Relayer #453,Bronze,No,5.0
454,TONNEL Relayer #454,Bronze,Yes,5.0
455,TONNEL Relayer #455,Bronze,No,26.279761904761898
456,TONNEL Relayer #456,Bronze,Yes,5.0
457,TONNEL Relayer #457,Bronze,No,5.0
458,TONNEL Relayer #458,Bronze,No,5.0
459,TONNEL Relayer #459,Bronze,No,5.0
460,TONNEL Relayer #460,Bronze,Yes,11.761904761904756
461,TONNEL Relayer #461,Bronze,No,5.0
462,TONNEL Relayer #462,Bronze,No,7.285714285714292
463,TONNEL Relayer #463,Bronze,Yes,5.0
464,TONNEL Relayer #464,Bronze,Yes,5.0
465,TONNEL Relayer #465,Bronze,Yes,20.555555555555568
466,TONNEL Relayer #466,Bronze,Yes,15.0
467,TONNEL Relayer #467,Bronze,No,147.0
468,TONNEL Relayer #468,Bronze,No,8.234126984126984
469,TONNEL Relayer #469,Bronze,No,5.0
470,TONNEL Relayer #470,Bronze,No,43.6904761904762
471,TONNEL Relayer #471,Bronze,No,6.976190476190477
472,TONNEL Relayer #472,Bronze,No,5.0
473,TONNEL Relayer #473,Bronze,No,5.0
474,TONNEL Relayer #474,Bronze,No,5.0
475,TONNEL Relayer #475,Bronze,Yes,10.0
476,TONNEL Relayer #476,Bronze,No,5.0
477,TONNEL Relayer #477,Bronze,Yes,5.0
478,TONNEL Relayer #478,Bronze,Yes,5.0
479,TONNEL Relayer #479,Bronze,No,5.0
480,TONNEL Relayer #480,Bronze,No,6.976190476190477
481,TONNEL Relayer #481,Bronze,No,5.0
482,TONNEL Relayer #482,Bronze,No,5.0
483,TONNEL Relayer #483,Bronze,Yes,93.33333333333333
484,TONNEL Relayer #484,Bronze,No,5.0
485,TONNEL Relayer #485,Bronze,No,8.333333333333334
486,TONNEL Relayer #486,Bronze,No,5.0
487,TONNEL Relayer #487,Bronze,No,6.118233618233618
488,TONNEL Relayer #488,Bronze,Yes,20.555555555555568
489,TONNEL Relayer #489,Bronze,No,5.0
490,TONNEL Relayer #490,Bronze,No,7.142857142857143
491,TONNEL Relayer #491,Bronze,No,5.0
492,TONNEL Relayer #492,Bronze,No,5.0
493,TONNEL Relayer #493,Bronze,Yes,5.0
494,TONNEL Relayer #494,Bronze,No,5.0
495,TONNEL Relayer #495,Bronze,Yes,5.0
496,TONNEL Relayer #496,Bronze,No,5.0
497,TONNEL Relayer #497,Bronze,No,5.0
498,TONNEL Relayer #498,Bronze,No,5.0
499,TONNEL Relayer #499,Bronze,Yes,94.88095238095222
500,TONNEL Relayer #500,Gold,Yes,1015.0
501,TONNEL Relayer #501,Bronze,Yes,5.0
502,TONNEL Relayer #502,Bronze,Yes,7.916666666666667
503,TONNEL Relayer #503,Bronze,Yes,5.0
504,TONNEL Relayer #504,Bronze,No,5.0
505,TONNEL Relayer #505,Bronze,Yes,97.5
506,TONNEL Relayer #506,Bronze,Yes,5.0
507,TONNEL Relayer #507,Bronze,No,5.0
508,TONNEL Relayer #508,Bronze,No,5.0
509,TONNEL Relayer #509,Bronze,No,5.0
510,TONNEL Relayer #510,Bronze,No,5.0
511,TONNEL Relayer #511,Bronze,No,6.118233618233618
512,TONNEL Relayer #512,Bronze,Yes,5.0
513,TONNEL Relayer #513,Bronze,No,5.0
514,TONNEL Relayer #514,Bronze,No,5.0
515,TONNEL Relayer #515,Bronze,No,5.0
516,TONNEL Relayer #516,Bronze,No,43.6904761904762
517,TONNEL Relayer #517,Bronze,No,5.0
518,TONNEL Relayer #518,Bronze,No,5.0
519,TONNEL Relayer #519,Bronze,No,5.0
520,TONNEL Relayer #520,Bronze,No,5.0
521,TONNEL Relayer #521,Bronze,No,5.0
522,TONNEL Relayer #522,Bronze,No,5.0
